epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.97574,2.08617,0.09677,0.56452,2.12175,7.497e-05,7.497e-05,7.497e-05
2,16.0488,2.02149,0.25806,0.75806,1.9753,0.000155136,0.000155136,0.000155136
3,23.5806,1.91164,0.41935,0.95161,1.81781,0.000232004,0.000232004,0.000232004
4,30.9789,1.79933,0.56452,0.96774,1.60249,0.000305573,0.000305573,0.000305573
5,38.2181,1.61105,0.74194,0.98387,1.37589,0.000375843,0.000375843,0.000375843
6,45.5496,1.47125,0.79032,0.98387,1.15641,0.000442814,0.000442814,0.000442814
7,52.9008,1.26873,0.75806,1,0.9898,0.000506487,0.000506487,0.000506487
8,60.222,1.14427,0.77419,1,0.84251,0.000566861,0.000566861,0.000566861
9,67.5127,0.95854,0.80645,1,0.70062,0.000623937,0.000623937,0.000623937
10,74.9336,0.89088,0.82258,1,0.5917,0.000677714,0.000677714,0.000677714
11,82.2466,0.75504,0.82258,1,0.54616,0.000668066,0.000668066,0.000668066
12,89.5908,0.7265,0.87097,1,0.47336,0.000651573,0.000651573,0.000651573
13,96.8671,0.68902,0.85484,1,0.43881,0.000635079,0.000635079,0.000635079
14,104.368,0.60411,0.82258,1,0.40635,0.000618586,0.000618586,0.000618586
15,111.735,0.53911,0.85484,1,0.38209,0.000602092,0.000602092,0.000602092
16,119.067,0.46338,0.85484,1,0.35861,0.000585599,0.000585599,0.000585599
17,126.343,0.43488,0.87097,1,0.35726,0.000569106,0.000569106,0.000569106
18,133.656,0.46806,0.8871,1,0.34678,0.000552612,0.000552612,0.000552612
19,141.041,0.40058,0.87097,1,0.35677,0.000536119,0.000536119,0.000536119
20,148.35,0.35965,0.85484,1,0.36312,0.000519625,0.000519625,0.000519625
21,155.599,0.37798,0.85484,1,0.34592,0.000503132,0.000503132,0.000503132
22,162.964,0.32898,0.85484,1,0.32548,0.000486639,0.000486639,0.000486639
23,170.209,0.41028,0.85484,1,0.32108,0.000470145,0.000470145,0.000470145
24,177.577,0.35366,0.8871,1,0.3172,0.000453652,0.000453652,0.000453652
25,184.883,0.31704,0.90323,1,0.32116,0.000437158,0.000437158,0.000437158
26,192.256,0.36131,0.90323,1,0.32201,0.000420665,0.000420665,0.000420665
27,206.913,0.2804,0.85484,1,0.30875,0.000404172,0.000404172,0.000404172
28,214.248,0.292,0.85484,1,0.31268,0.000387678,0.000387678,0.000387678
29,221.564,0.30005,0.85484,1,0.31393,0.000371185,0.000371185,0.000371185
30,228.871,0.24652,0.87097,1,0.31898,0.000354691,0.000354691,0.000354691
31,236.185,0.25131,0.85484,1,0.30853,0.000338198,0.000338198,0.000338198
32,243.542,0.25134,0.83871,1,0.30882,0.000321705,0.000321705,0.000321705
33,250.943,0.27296,0.85484,1,0.31346,0.000305211,0.000305211,0.000305211
34,258.332,0.26798,0.87097,1,0.3103,0.000288718,0.000288718,0.000288718
35,265.637,0.25371,0.87097,1,0.31136,0.000272224,0.000272224,0.000272224
36,272.925,0.2518,0.85484,1,0.33122,0.000255731,0.000255731,0.000255731
37,280.324,0.2915,0.85484,1,0.32479,0.000239238,0.000239238,0.000239238
38,287.679,0.26604,0.87097,1,0.31571,0.000222744,0.000222744,0.000222744
39,294.922,0.2314,0.85484,1,0.31328,0.000206251,0.000206251,0.000206251
40,302.265,0.32202,0.87097,1,0.30915,0.000189757,0.000189757,0.000189757
41,309.576,0.30608,0.85484,1,0.31178,0.000173264,0.000173264,0.000173264
42,316.944,0.19587,0.87097,1,0.31163,0.000156771,0.000156771,0.000156771
43,324.298,0.24807,0.8871,1,0.31095,0.000140277,0.000140277,0.000140277
44,339.602,0.22229,0.87097,1,0.31154,0.000123784,0.000123784,0.000123784
45,347.348,0.18461,0.8871,1,0.31533,0.00010729,0.00010729,0.00010729
46,354.707,0.29865,0.8871,1,0.31337,9.0797e-05,9.0797e-05,9.0797e-05
47,362.076,0.2488,0.8871,1,0.32413,7.43036e-05,7.43036e-05,7.43036e-05
48,369.483,0.24665,0.8871,1,0.33131,5.78102e-05,5.78102e-05,5.78102e-05
49,376.886,0.1897,0.8871,1,0.32777,4.13168e-05,4.13168e-05,4.13168e-05
50,384.275,0.19637,0.8871,1,0.32245,2.48234e-05,2.48234e-05,2.48234e-05
