epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9637,1.60188,3.55754,2.06106,0.00474,1,0.12194,0.05128,1.47585,4.0902,2.72264,5e-05,5e-05,5e-05
2,40.8054,1.40287,3.44601,1.91109,0.00377,1,0.14696,0.0669,1.11091,3.98299,2.10155,0.000107822,0.000107822,0.000107822
3,60.9166,1.21186,3.2958,1.72683,0.00398,1,0.27973,0.17275,0.93124,3.92762,1.79567,0.000163268,0.000163268,0.000163268
4,81.4042,1.08435,3.18539,1.59602,0.00426,1,0.31431,0.17705,0.74957,3.87715,1.51343,0.000216338,0.000216338,0.000216338
5,100.839,1.04865,2.9654,1.50056,0.00451,1,0.28633,0.20396,0.65112,3.79131,1.36469,0.000267032,0.000267032,0.000267032
6,120.581,0.9524,2.80396,1.44486,0.00454,1,0.26029,0.22424,0.61867,3.68108,1.21609,0.00031535,0.00031535,0.00031535
7,140.109,0.89004,2.66538,1.31247,0.0054,1,0.31011,0.20354,0.98856,3.64922,1.46618,0.000361292,0.000361292,0.000361292
8,159.641,0.81933,2.47514,1.27937,0.55158,0.24167,0.37391,0.28643,0.89096,3.31952,1.2203,0.000404858,0.000404858,0.000404858
9,179.152,0.84387,2.2837,1.27981,0.28324,0.50009,0.40763,0.27553,1.06789,2.99834,1.45292,0.000446048,0.000446048,0.000446048
10,198.602,0.80575,2.19509,1.28944,0.23579,0.64533,0.42364,0.27463,1.13316,2.98698,1.45902,0.000484862,0.000484862,0.000484862
11,218.075,0.76479,2.04795,1.23596,0.25971,0.75199,0.42355,0.3495,0.70731,2.8503,1.0559,0.0005213,0.0005213,0.0005213
12,237.561,0.75097,2.01094,1.16668,0.52021,0.71446,0.49739,0.41231,0.65772,2.9449,0.90055,0.000555362,0.000555362,0.000555362
13,257.015,0.77087,1.90419,1.25378,0.30755,0.87127,0.47528,0.40784,0.61098,2.66821,0.87169,0.000587048,0.000587048,0.000587048
14,276.515,0.67995,1.79328,1.18199,0.30877,0.74167,0.4556,0.4078,0.48115,2.44589,0.75521,0.000616358,0.000616358,0.000616358
15,295.998,0.64276,1.67478,1.17327,0.34058,0.70358,0.47748,0.42285,0.55353,2.46133,0.81845,0.000643292,0.000643292,0.000643292
16,315.579,0.6916,1.64623,1.18729,0.34662,0.77966,0.49212,0.4355,0.51109,2.64703,0.79851,0.00066785,0.00066785,0.00066785
17,335.407,0.67818,1.65012,1.17092,0.37254,0.78579,0.52115,0.44727,0.56887,2.49664,0.88507,0.0006832,0.0006832,0.0006832
18,355.063,0.65709,1.61113,1.15378,0.43298,0.79999,0.57541,0.49712,0.56834,2.35735,0.91799,0.0006634,0.0006634,0.0006634
19,374.647,0.65818,1.52277,1.16957,0.45279,0.79089,0.56314,0.49717,0.47821,2.53277,0.83878,0.0006436,0.0006436,0.0006436
20,394.162,0.59782,1.46463,1.09882,0.44322,0.77284,0.54167,0.481,0.49528,2.58987,0.83635,0.0006238,0.0006238,0.0006238
21,414.091,0.6301,1.46266,1.16289,0.4267,0.84261,0.53523,0.4674,0.58394,2.48425,0.92915,0.000604,0.000604,0.000604
